Do Nha Ngoc , 21110000 , 21110000@student.hcmus.edu.vn , 21110000 , 0894079208 , MTTH2C , student
Bui Hai Nhi , 21110001 , 21110001@student.hcmus.edu.vn , 21110001 , 0892862393 , MTTH2C , student
Nguyen Phuong Sang , 21110002 , 21110002@student.hcmus.edu.vn , 21110002 , 0895353804 , 22CNTT , student
Truong Gia Huong , 21110003 , 21110003@student.hcmus.edu.vn , 21110003 , 0892547308 , KDL12A , student
Dinh Gia Nhi , 21110004 , 21110004@student.hcmus.edu.vn , 21110004 , 0892282155 , 16VLCLC , student
Tran An Tuyen , 21110005 , 21110005@student.hcmus.edu.vn , 21110005 , 0895875166 , KDL12A , student
Dinh Thu Khang , 21110006 , 21110006@student.hcmus.edu.vn , 21110006 , 0899233682 , MTTH2C , student
Duong Minh Tuyet , 21110007 , 21110007@student.hcmus.edu.vn , 21110007 , 0893346553 , KDL12A , student
Duong Duc Vy , 21110008 , 21110008@student.hcmus.edu.vn , 21110008 , 0895058529 , 16VLCLC , student
Tran Gia Tuyen , 21110009 , 21110009@student.hcmus.edu.vn , 21110009 , 0895460794 , KDL12A , student
Le Linh Khai , 21110010 , 21110010@student.hcmus.edu.vn , 21110010 , 0896757830 , SHH20A , student
Do Anh Phuoc , 21110011 , 21110011@student.hcmus.edu.vn , 21110011 , 0891452751 , 22CNTT , student
Ngo Nhu Ha , 21110012 , 21110012@student.hcmus.edu.vn , 21110012 , 0895379623 , MTTH2C , student
Ngo Gia Nhien , ngnhien , ngnhien@hcmus.edu.vn , ngnhien , 0899232745 , MTTH2C , lecturer
Ho Phuong Hau , hphau , hphau@hcmus.edu.vn , hphau , 0893345590 , MTTH2C , lecturer
Dinh Duc Linh , ddlinh , ddlinh@hcmus.edu.vn , ddlinh , 0895057542 , SHH20A , lecturer
Bui Hai Duyen , bhduyen , bhduyen@hcmus.edu.vn , bhduyen , 0895459815 , 16VLCLC , lecturer
Dang Hai Khang , dhkhang , dhkhang@hcmus.edu.vn , dhkhang , 0896756857 , KDL12A , lecturer
Huynh Minh Huong , hmhuong , hmhuong@hcmus.edu.vn , hmhuong , 0891451776 , MTTH2C , lecturer
Phan Huy Kien , phkien , phkien@hcmus.edu.vn , phkien , 0895378694 , SHH20A , lecturer
Ngo Nha Khai , nnkhai , nnkhai@hcmus.edu.vn , nnkhai , 0897952172 , MTTH2C , admin
Phan Duc Phuong , pdphuong , pdphuong@hcmus.edu.vn , pdphuong , 0894046687 , KDL12A , admin
Ngo Bao Kiet , nbkiet , nbkiet@hcmus.edu.vn , nbkiet , 0895175502 , SHH20A , admin
Ho Minh Huong , hmhuong , hmhuong@hcmus.edu.vn , hmhuong , 0895923541 , KDL12A , admin
Bui Thanh Y , bty , bty@hcmus.edu.vn , bty , 0899001507 , KDL12A , admin
